timestamp,turbidity_NTU,temperature_C,pH,DO_mg_L,TDS_ppm,ammonia_ppm,water_quality,replace_action
2025-10-01 00:00:00,3.5,26.52,7.16,5.57,162.7,0.125,clean,0
2025-10-01 00:10:00,2.86,25.73,6.9,6.31,137.4,0.015,clean,0
2025-10-01 00:20:00,3.65,26.66,7.3,6.6,167.9,0.091,clean,0
2025-10-01 00:30:00,4.52,26.1,7.01,6.72,194.4,0.059,clean,0
2025-10-01 00:40:00,2.77,27.04,7.21,6.25,187.8,0.141,clean,0
2025-10-01 00:50:00,2.77,25.66,7.24,6.52,176.7,0.154,clean,0
2025-10-01 01:00:00,4.58,26.87,7.4,5.26,179.7,0.0,clean,0
2025-10-01 01:10:00,3.77,26.1,7.0,6.17,169.7,0.099,clean,0
2025-10-01 01:20:00,2.53,25.67,6.75,6.73,183.1,0.156,clean,0
2025-10-01 01:30:00,3.54,25.76,7.23,6.01,191.5,0.091,clean,0
2025-10-01 01:40:00,2.54,25.84,7.47,6.53,155.8,0.136,clean,0
2025-10-01 01:50:00,2.53,26.21,7.39,6.72,184.5,0.118,clean,0
2025-10-01 02:00:00,3.24,26.26,7.23,6.33,194.0,0.117,clean,0
2025-10-01 02:10:00,1.09,25.71,7.13,6.59,173.8,0.086,clean,0
2025-10-01 02:20:00,1.28,25.99,7.32,6.02,190.5,0.039,clean,0
2025-10-01 02:30:00,2.44,27.07,7.05,6.4,222.2,0.044,clean,0
2025-10-01 02:40:00,1.99,26.86,7.27,6.81,178.4,0.135,clean,0
2025-10-01 02:50:00,3.31,26.22,7.28,6.58,185.9,0.101,clean,0
2025-10-01 03:00:00,2.09,26.02,7.36,6.21,168.9,0.093,clean,0
2025-10-01 03:10:00,1.59,26.06,7.61,6.61,182.7,0.079,clean,0
2025-10-01 03:20:00,4.47,26.31,7.26,6.86,186.9,0.085,clean,0
2025-10-01 03:30:00,2.77,25.49,7.12,5.48,182.9,0.152,clean,0
2025-10-01 03:40:00,3.07,25.87,7.2,7.08,164.7,0.083,clean,0
2025-10-01 03:50:00,1.58,25.17,6.93,6.33,183.1,0.033,clean,0
